Training Loss,Validation Loss
-4.386249347875515,-5.643434256076813
-6.155387298732996,-6.728819213747978
-7.563510857741038,-8.44452673482895
-9.056374769528707,-9.813367000102996
-10.298937589009602,-10.856662782669067
-11.069069016138712,-11.373278350830079
-11.438416263580322,-11.639928392887116
-11.6756848971049,-11.817132276058198
-11.808337248484294,-11.89053187942505
-11.87459555308024,-11.912529737949372
-11.908028920491537,-11.938682877540588
-11.930358950297038,-11.95757468700409
-11.943406387329102,-11.964071663856506
-11.95582907740275,-11.967469141960144
-11.96347871653239,-11.968300954341888
-11.96862745920817,-11.978420094013215
-11.9731819674174,-11.981165768146514
-11.9765747756958,-11.97661071252823
-11.975951566060385,-11.9869196267128
-11.980868041992187,-11.987528666973114
-11.98272534052531,-11.988649131298065
-11.984319953918456,-11.976347499847412
-11.985548463185628,-11.991244893074036
-11.986604679107666,-11.971097627162933
-11.98671662902832,-11.99248684644699
-11.988188444773357,-11.992048703193664
-11.988464818318684,-11.993621169567108
-11.989361281077066,-11.993339841842651
-11.98924307759603,-11.993512360572815
-11.990455880482992,-11.995141667842866
-11.990628008524578,-11.995100438117982
-11.990938583374023,-11.995635447025299
-11.991764701843262,-11.995528503417969
-11.990061874389648,-11.99496720314026
-11.991885431925455,-11.99509989976883
-11.992340204874674,-11.992053811073303
-11.99228642654419,-11.994918381214141
-11.99197338994344,-11.993701910972595
-11.991856099446615,-11.995466713428497
-11.99218443552653,-11.995023859977723
-11.992885690053305,-11.9967478890419
-11.992660970052084,-11.996952271938325
-11.992816864013673,-11.996285018920899
-11.993030563354493,-11.99598251247406
-11.99315246963501,-11.993626333236694
-11.992170318603515,-11.997184205532074
-11.993919624328614,-11.996926055431366
-11.99309907023112,-11.996231345176696
-11.99290524037679,-11.994779140472412
-11.993376068115234,-11.997424877166749
-11.99381663386027,-11.997064857006073
-11.993598556518554,-11.997355326652526
-11.99390526453654,-11.997163533687592
-11.993841855367025,-11.997248495578766
-11.992844731648763,-11.997427614688874
-11.993840171813964,-11.997459574699402
-11.993762601216634,-11.99653767156601
-11.992164782206217,-11.997100447177887
-11.993651882171632,-11.997457643032075
-11.993823963165283,-11.994833920955658
-11.994017211914063,-11.996687765598297
-11.994035517374675,-11.99780125951767
-11.994156766255697,-11.99555999326706
-11.993847171783447,-11.99741905927658
-11.993730759938558,-11.996110414028168
-11.994523660024008,-11.997856533527374
-11.993419733683268,-11.997778924942017
-11.994309237162271,-11.994790012836456
-11.991958595275879,-11.99678216934204
-11.99428611501058,-11.997672409057618
-11.9941393699646,-11.9975559091568
-11.994580924987792,-11.997477890491485
-11.993915475209555,-11.997806647777557
-11.994128290812174,-11.997743008613586
-11.99449136098226,-11.99784949350357
-11.993701403299967,-11.998046067714691
-11.99477840423584,-11.997352887630463
-11.993667630513508,-11.998012631893157
-11.994508981068929,-11.997580501556396
-11.99294032796224,-11.997666718482972
-11.994341784159342,-11.998194109439849
-11.99482265218099,-11.998007309913636
-11.993792364756267,-11.99744715642929
-11.993682450612386,-11.998040060043335
-11.994804846445719,-11.997977796554565
-11.99518266805013,-11.996998683452606
-11.99336040242513,-11.998061932086944
-11.995423816680908,-11.997997178554535
-11.994605294545492,-11.997752872467041
-11.993670618693034,-11.9979441447258
-11.994095967610678,-11.998075955867767
-11.995051918029786,-11.998130844593048
-11.99431059773763,-11.99817127609253
-11.994381966908772,-11.997917846202851
-11.995175019582113,-11.998331429004669
-11.9945754737854,-11.99754000377655
-11.994753599802653,-11.995913123607636
-11.995165864308674,-11.998176930904389
-11.995035134633381,-11.9975982131958
-11.996385566711426,-11.998321860790252
